"* Required Fields","* 必填欄位"
"Comment","意見"
"Contact Form","Contact Form"
"Contact Information","Contact Information"
"Contact Us","連絡我們"
"Contact Us Form","Contact Us Form"
"Contacts","Contacts"
"Contacts Section","Contacts Section"
"Email","Email"
"Email Options","Email Options"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Enable Contact Us","Enable Contact Us"
"Name","姓名"
"Send Emails To","Send Emails To"
"Submit","提交"
"Telephone","電話"
"Unable to submit your request. Please, try again later","Unable to submit your request. Please, try again later"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","您的提問已提交，將會在短時間內回覆，感謝您的提問。"
