"%s was added to your shopping cart.","%s 已新增至您的購物車"
"%s was updated in your shopping cart.","%s 已更新至您的購物車"
"(Excl. Tax)","(Excl. Tax)"
"(Incl. Tax)","(Incl. Tax)"
"* Required Fields","* Required Fields"
"Add New Address","新增一個地址"
"Add New Condition","Add New Condition"
"Add coupon code for shopping cart","Add coupon code for 購物車"
"Add gift messages to shopping cart","Add gift messages to 購物車"
"Add product to shopping cart","Add product to 購物車"
"Add product(s) to shopping cart","Add product(s) to 購物車"
"Add to Cart","加入購物車"
"Add to Compare","Add to Compare"
"Add to Wishlist","新增到收藏"
"Additional Product Info","Additional Product Info"
"Address","Address"
"Address %s of %s","Address %s of %s"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to 購物車"
"Allow Guest Checkout","Allow Guest Checkout"
"Already registered?","Already registered?"
"An error occurred in the process of payment","An error occurred in the process of payment"
"An error occurred while deleting this condition.","An error occurred while deleting this condition."
"An error occurred while saving this condition.","An error occurred while saving this condition."
"Apply","使用"
"Apply Coupon","使用折價券"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Are you sure you want to leave this page? You will need to go through the checkout steps again."
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the 購物車?"
"Back","Back"
"Back to Billing Information","回到付款資訊"
"Back to Select Addresses","Back to Select Addresses"
"Back to Shipping Information","Back to Shipping Information"
"Back to Shopping Cart","回到購物車"
"Based on your selection, you may be interested in the following items:","Based on your selection, you may be interested in the following items:"
"Billing Address","付款地址"
"Billing Information","付款資訊"
"Billing Information - %s","付款資訊 - %s"
"Can not remove the item.","Can not remove the item."
"Can not save item.","Can not save item."
"Cancel","Cancel"
"Cancel Coupon","Cancel Coupon"
"Cannot add item to the shopping cart.","Cannot add item to the 購物車."
"Cannot add the item to shopping cart","Cannot add the item to 購物車"
"Cannot add the item to shopping cart.","Cannot add the item to 購物車."
"Cannot apply the coupon code.","Cannot apply the coupon code."
"Cannot configure product.","Cannot configure product."
"Cannot open the overview page","Cannot open the overview page"
"Cannot process the item.","Cannot process the item."
"Cannot remove the item.","Cannot remove the item."
"Cannot update shopping cart.","Cannot update 購物車."
"Cannot update the item.","Cannot update the item."
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart","Cart"
"Cart Product API","Cart Product API"
"Cart Subtotal:","Cart Subtotal:"
"Change","更改"
"Change Billing Address","Change Billing Address"
"Checkbox Text","Checkbox Text"
"Checkout","結帳"
"Checkout Conditions","Checkout Conditions"
"Checkout Forms Extra","Checkout Forms Extra"
"Checkout Method","結帳方式"
"Checkout Options","Checkout Options"
"Checkout Progress Wrapper","Checkout Progress Wrapper"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","已訪客方式結帳"
"Checkout as a Guest or Register","以訪客方式結帳或是註冊"
"Checkout with Multiple Addresses","結帳並運送至不同地址"
"City","城市"
"Clear Shopping Cart","Clear 購物車"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","點擊 <a href=""%s"" onclick=""this.target=\'_blank\'"">這裡</a> 列印您的訂購確認資訊。"
"Click <a href=""%s"">here</a> to continue shopping.","點擊 <a href=""%s"">這裡</a> 繼續選購。"
"Close","Close"
"Company","公司"
"Condition Name","Condition Name"
"Configurable Product Image","Configurable Product Image"
"Configure Cart Item","Configure Cart Item"
"Confirm Password","Confirm Password"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","繼續"
"Continue Shopping","繼續購物"
"Continue to Billing Information","Continue to Billing Information"
"Continue to Review Your Order","Continue to Review Your Order"
"Continue to Shipping Information","Continue to Shipping Information"
"Country","國家"
"Coupon code ""%s"" is not valid.","Coupon code ""%s"" is not valid."
"Coupon code ""%s"" was applied.","Coupon code ""%s"" was applied."
"Coupon code was canceled.","Coupon code was canceled."
"Create Billing Address","Create Billing Address"
"Create Shipping Address","Create Shipping Address"
"Create an order from shopping cart","Create an order from 購物車"
"Create shopping cart","Create 購物車"
"Customer Address is not valid.","Customer Address is not valid."
"Customer Information","Customer Information"
"Customer's information","Customer's information"
"Data saving problem","Data saving problem"
"Default Billing","Default Billing"
"Default Shipping","Default Shipping"
"Delete Condition","Delete Condition"
"Details","Details"
"Disabled","Disabled"
"Discount Codes","折價碼"
"Display Cart Summary","Display Cart Summary"
"Display Shopping Cart Sidebar","Display 購物車 Sidebar"
"Display item quantities","Display item quantities"
"Display number of items in cart","Display number of items in cart"
"Display number of items in wishlist","Display number of items in wishlist"
"Easy access to your order history and status","Easy access to your order history and status"
"Edit","Edit"
"Edit Address","Edit Address"
"Edit Billing Address","Edit Billing Address"
"Edit Condition","Edit Condition"
"Edit Items","Edit Items"
"Edit Shipping Address","Edit Shipping Address"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","編輯您的購物車"
